model,trialId,specType,componentsPresent,componentsTotal,directServiceImports,exportedDataStores,httpInServices,externalDeps,servicePerFile,routeCoverage,routesImplemented,routesTotal,folderScore,totalViolations,complianceScore
Sonnet 4.6,c4-1,c4,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,c4-2,c4,9,9,2,0,0,0,true,100,25,25,10,2,90
Sonnet 4.6,c4-3,c4,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,openapi-1,openapi,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,openapi-2,openapi,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,openapi-3,openapi,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,prose-1,prose,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,prose-2,prose,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,prose-3,prose,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,structured-1,structured,9,9,1,0,0,0,true,100,25,25,10,1,95
Sonnet 4.6,structured-2,structured,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,structured-3,structured,9,9,1,0,0,0,true,100,25,25,10,1,95
Sonnet 4.6,typescript-contracts-1,typescript-contracts,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,typescript-contracts-2,typescript-contracts,9,9,0,0,0,0,true,100,25,25,10,0,100
Sonnet 4.6,typescript-contracts-3,typescript-contracts,9,9,0,0,0,0,true,100,25,25,10,0,100
Haiku 4.5,c4-1,c4,9,9,0,0,0,0,true,100,25,25,10,0,100
Haiku 4.5,c4-2,c4,9,9,0,0,0,0,true,100,25,25,10,0,100
Haiku 4.5,c4-3,c4,9,9,2,0,0,0,true,100,25,25,10,2,90
Haiku 4.5,openapi-1,openapi,9,9,2,0,0,0,true,100,25,25,10,2,90
Haiku 4.5,openapi-2,openapi,9,9,0,0,0,0,true,100,25,25,10,0,100
Haiku 4.5,openapi-3,openapi,9,9,0,0,0,0,true,100,25,25,10,0,100
Haiku 4.5,prose-1,prose,9,9,7,0,0,0,true,100,25,25,10,7,80
Haiku 4.5,prose-2,prose,9,9,1,0,0,0,true,100,25,25,10,1,95
Haiku 4.5,prose-3,prose,9,9,2,0,0,0,true,100,25,25,10,2,90
Haiku 4.5,structured-1,structured,9,9,2,0,0,0,true,100,25,25,10,2,90
Haiku 4.5,structured-2,structured,9,9,0,0,0,0,true,100,25,25,10,0,100
Haiku 4.5,structured-3,structured,9,9,2,0,0,0,true,100,25,25,10,2,90
Haiku 4.5,typescript-contracts-1,typescript-contracts,9,9,0,0,0,0,true,100,25,25,10,0,100
Haiku 4.5,typescript-contracts-2,typescript-contracts,9,9,0,0,0,0,true,100,25,25,10,0,100
Haiku 4.5,typescript-contracts-3,typescript-contracts,9,9,0,0,0,0,true,100,25,25,10,0,100
GPT-5-mini,c4-1,c4,9,9,0,0,0,1,true,100,25,25,10,1,93.3
